id,text
1,오늘은 일이 술술 풀리는 날입니다. 다만 그 일이 내 일이 아닐 수도 있습니다.
2,혹시 법인카드 결재 내역… 잊으신 건 아니죠? 지금 생각났다면 이미 늦었을 수도 있습니다.
3,오늘 팀장님의 기분이 꽤 좋아 보입니다. 커피 사달라고 해볼 절호의 타이밍입니다.
4,오늘의 운세: 메신저 알림이 많이 옵니다. 좋은 소식일 확률은 낮습니다.
5,오늘은 집중력이 좋은 날입니다. 특히 퇴근 시간 계산에 매우 뛰어납니다.
6,엘리베이터에서 마주친 임원분이 당신을 기억할 수도 있습니다. 아니면 그냥 층 버튼 누르신 겁니다.
7,오늘은 작은 행운이 있습니다. 예를 들면 회의가 10분 일찍 끝나는 기적 같은 일입니다.
8,오늘 당신의 선택은 꽤 현명합니다. 일단 커피부터 마시러 온 것부터가요.
9,누군가는 오늘 당신에게 일을 부탁할 예정입니다. 눈 마주치지 마세요.
10,이미 충분히 잘 버티고 있습니다. 그래도 커피 한 잔 더 마셔도 됩니다.
11,오늘은 출근길에 신호등 운이 좋습니다. 그 운은 사무실 도착과 동시에 사라집니다.
12,점심시간 직전 회의가 잡힐 가능성이 평소보다 높습니다. 예약 알림을 미리 켜두세요.
13,오늘 누군가가 당신의 자리를 비운 사이 책상에 메모를 남깁니다. 좋은 소식은 아닙니다.
14,오늘의 행운 메뉴: 김치찌개. 운이 좋다면 계란말이가 곁들여 나옵니다.
15,오늘은 결재 라인의 한 명이 휴가입니다. 다행이거나 절망적이거나 둘 중 하나입니다.
16,오늘 누군가가 '이거 누가 했어요?'라고 묻습니다. 자신 있게 답할 수 있는 일이라면 행운입니다.
17,오늘 퇴근길 지하철은 평소보다 한 칸 덜 붐빕니다. 이유는 알 수 없지만 감사하세요.
18,오늘 당신의 상태 메시지를 본 사람이 있습니다. 별일은 아닙니다.
19,오늘은 보내려던 메일을 한 번 더 읽어 보세요. 오타 한 글자가 분위기를 바꿉니다.
20,오늘 누군가가 당신의 자리에 사탕을 두고 갑니다. 출처는 묻지 않는 게 좋습니다.
21,오늘은 회의실 화이트보드에 어제의 낙서가 그대로 있습니다. 지우는 사람이 당신이라면 운이 좋은 편입니다.
22,점심을 너무 무겁게 먹으면 오후 3시가 두 배로 깁니다. 적당함이 정답입니다.
23,오늘 누군가의 한숨이 사무실 BGM이 됩니다. 이어폰을 챙기세요.
24,오늘 모니터 두 대가 동시에 깜빡이는 순간이 옵니다. 케이블 한 번 점검하세요.
25,오늘은 사내 카페 줄이 평소보다 짧습니다. 작은 기적입니다.
26,오늘 당신이 미뤄둔 메일 중 하나는 사실 답장이 필요 없는 메일이었습니다.
27,오늘 누군가가 당신에게 '잠깐 시간 돼요?'라고 묻습니다. 일정상 안 된다고 해도 결국 시간이 납니다.
28,오늘은 점심 메뉴 결정에 단톡방 18개의 메시지가 오갑니다.
29,오늘 회의록을 적는 사람이 당신이라면 회의는 빨리 끝납니다.
30,오늘은 결재가 한 번에 통과될 가능성이 있습니다. 자료를 미리 다듬어 두세요.
31,오늘 회의 중 누군가의 마이크가 5분간 음소거였음이 드러납니다. 다시 처음부터 들어야 할 수도 있습니다.
32,오늘 당신이 마실 커피의 평균 가격은 4500원입니다. 한 잔은 누군가 사줄 수도 있습니다.
33,오늘 누군가에게 받은 칭찬은 진심일 가능성이 높습니다. 너무 의심하지 마세요.
34,오늘은 캘린더의 빈 시간이 30분 이상 비어 있습니다. 즐기세요.
35,오늘 점심 후 산책 5분이 오후 4시간을 살립니다.
36,오늘 누군가의 자리에 새 화분이 보입니다. 분위기 전환이 필요한 신호일 수 있습니다.
37,오늘 누군가 '이거 금방 끝나요'라고 말한다면 일정 한 칸을 미리 비워 두세요.
38,오늘은 노트북 충전기를 한 번 더 확인하세요. 회의실에서 죽으면 골치 아픕니다.
39,오늘 회의 중 누군가의 카메라 너머로 택배가 도착합니다. 모두 잠깐 흐뭇해집니다.
40,오늘은 보고서 한 페이지를 줄일 수 있는 날입니다. 과감히 잘라내세요.
41,오늘 누군가의 슬랙 답장이 평소보다 빠릅니다. 무언가 부탁할 일이 있다는 뜻입니다.
42,오늘 점심 약속은 마지막에 한 명이 늦습니다. 보통 메뉴 정한 사람입니다.
43,오늘은 사무실 에어컨 온도 전쟁이 격해집니다. 카디건 한 장이 평화를 가져옵니다.
44,오늘 누군가가 단톡방을 새로 만들어 초대합니다. 알림은 끄는 게 정답입니다.
45,오늘 회의 자료의 표지 날짜가 어제 날짜로 되어 있습니다. 지금 고쳐도 늦지 않습니다.
46,오늘 점심 후 졸음이 평소보다 1단계 강합니다. 진한 커피 한 잔이 권장됩니다.
47,오늘 누군가 '잠깐 1:1 잡을까요?'라고 합니다. 거절은 어렵지만 일정은 미룰 수 있습니다.
48,오늘 회의 중 한 명이 갑자기 좋은 의견을 냅니다. 그 의견의 실행은 당신이 맡게 됩니다.
49,오늘은 사내 메신저 프로필 사진을 바꾸기 좋은 날입니다. 너무 활짝 웃지는 마세요.
50,오늘 퇴근 1시간 전 메일이 한 통 도착합니다. 내일 답해도 늦지 않습니다.
51,오늘 점심 메뉴는 평소보다 한 끗 좋습니다. 사진은 찍지 않는 게 더 맛있습니다.
52,오늘 누군가의 자리에서 라면 냄새가 납니다. 모두 흔들립니다.
53,오늘 회의 끝에 '한번 정리해서 공유드릴게요'라는 말이 나옵니다. 정리는 결국 당신이 합니다.
54,오늘은 회의실 예약을 30분 단위로 잡으세요. 안 그러면 1시간이 1시간 30분이 됩니다.
55,오늘 누군가에게 작은 부탁을 받습니다. 들어주면 다음 주 점심을 얻을 수 있습니다.
56,오늘 책상 서랍을 정리하면 잊고 있던 간식 하나가 나옵니다.
57,오늘은 출근 첫 한 시간이 가장 효율적입니다. 그 시간을 회의로 채우지 마세요.
58,오늘 누군가의 캘린더에 빈 시간이 보입니다. 그 시간은 빈 게 아닙니다.
59,오늘은 보고가 매끄럽게 끝납니다. 다음 보고가 바로 잡힐 수 있으니 마음의 준비는 해두세요.
60,오늘 회의실 빔이 처음에 안 켜집니다. 익숙한 풍경이라 침착할 수 있습니다.
61,오늘은 누군가의 생일 케이크가 등장합니다. 도망갈 수 없는 노래를 따라 부르세요.
62,오늘 메일함에 안 읽은 메일이 두 자리 수입니다. 그래도 진짜 급한 건 두 통뿐입니다.
63,오늘은 화장실에서 마주친 동료와 어색한 인사를 합니다. 어색해도 괜찮습니다.
64,오늘 누군가의 자리에 서류가 한 뭉치 더 쌓였습니다. 안 봐서 다행입니다.
65,오늘 점심 후 회의는 졸음과의 협상 시간입니다. 진한 차 한 잔이 도움이 됩니다.
66,오늘 회의 중 누군가가 '다음 안건으로 넘어가시죠'라고 합니다. 안건은 끝나지 않았습니다.
67,오늘 사내 메일에 익명 설문이 도착합니다. 솔직하게 적어도 결과는 잘 안 바뀝니다.
68,오늘 누군가의 책상 위 간식이 줄어듭니다. 범인은 본인일 수 있습니다.
69,오늘은 보고서 폰트 크기를 한 단계 줄이고 싶어집니다. 줄이면 한 페이지가 줄어듭니다.
70,오늘 누군가가 '잠깐만 도와주실 수 있어요?'라고 묻습니다. 잠깐이 30분이 됩니다.
71,오늘 점심 약속 장소는 가까운 곳이 정답입니다. 멀면 오후가 무너집니다.
72,오늘 사내 시스템이 한 번 잠깐 멈춥니다. 그 시간은 합법적인 휴식입니다.
73,오늘은 키보드를 한 번 닦아 보세요. 손끝 감각이 1.2배 좋아집니다.
74,오늘 회의 중 한 명이 '제가 다음 회의가 있어서요'라고 말하며 자연스럽게 빠져나갑니다. 부럽습니다.
75,오늘 책상 위 텀블러를 두 번 채우는 날입니다. 화장실도 그만큼 갑니다.
76,오늘 메일 회신에 'ㅎㅎ'를 쓸지 말지 1초 고민합니다. 안 쓰는 쪽이 무난합니다.
77,오늘은 누군가의 자리에 새 키보드가 보입니다. 부럽다고 말하지는 마세요.
78,오늘 회의에서 '다음 주에 다시 보시죠'가 두 번 나옵니다. 결정은 미뤄집니다.
79,오늘 점심 후 사무실 복도에서 임원과 마주칠 수 있습니다. 인사 타이밍을 놓치지 마세요.
80,오늘 누군가가 단체 메일에 '전체 답장'을 잘못 누릅니다. 보지 못한 척하세요.
81,오늘 메신저로 '바쁘세요?'라는 질문이 옵니다. 답하면 바빠집니다.
82,오늘 점심 후 책상에 작은 간식이 놓여 있을 수 있습니다. 출처를 확인할 필요는 없습니다.
83,오늘 회의실 의자가 유난히 푹신합니다. 졸음은 그래서 더 위험합니다.
84,오늘 누군가의 슬랙 알림이 옆자리까지 들립니다. 진동을 권해 보세요.
85,오늘 보고 자료에 그래프 하나를 추가하면 통과 확률이 올라갑니다. 색은 너무 화려하지 않게.
86,오늘 누군가의 책상에서 처음 보는 가습기가 보입니다. 사무실의 계절이 바뀌고 있습니다.
