id,text
1,오늘 하루도 여기까지 온 것만으로 충분합니다.
2,잘 해내지 않아도 괜찮은 날이 있습니다. 오늘이 그런 날이어도 됩니다.
3,"당신의 속도는 틀린 게 아니라, 그저 당신의 속도입니다."
4,"숨을 한 번 깊게 들이마시고, 천천히 내쉬어 보세요. 그 한 번이 오늘을 바꿉니다."
5,오늘은 잘 쉬는 것이 가장 중요한 일입니다.
6,당신이 애쓴 시간은 어디로 사라지지 않습니다. 어딘가에 분명 쌓이고 있습니다.
7,모든 것을 다 잘할 필요는 없습니다. 오늘 하나만 잘해도 충분합니다.
8,"가끔은 아무 일도 일어나지 않는 평범한 하루가, 가장 좋은 하루입니다."
9,"마음이 무거운 날에는, 그 무거움을 인정하는 것부터 시작해 보세요."
10,오늘 당신이 한 작은 선택들이 모여 내일의 당신을 만듭니다.
11,잠깐 창밖을 보세요. 하늘은 늘 거기 있어 줍니다.
12,스스로에게 너무 엄격하지 않아도 됩니다. 오늘은 한 번 봐주는 날입니다.
13,누구나 흔들리는 날이 있습니다. 그게 오늘이라도 괜찮습니다.
14,오늘 당신이 견딘 시간은 누구보다 당신이 가장 잘 압니다.
15,"좋은 하루는 만들어 가는 것이 아니라, 발견하는 것에 가깝습니다."
16,따뜻한 물 한 컵이 의외로 많은 것을 데워 줍니다.
17,"오늘 못 끝낸 일은 내일의 당신에게 맡겨도 됩니다. 내일의 당신도 꽤, 능력 있는 사람입니다."
18,당신이 지금까지 버텨 온 것은 결코 당연한 일이 아닙니다.
19,누군가의 안부 한 마디가 종일 마음에 남는 날이 있습니다. 오늘은 당신이 그 한 마디가 되어도 좋습니다.
20,"잘 지내냐는 질문에 솔직히 답하지 못해도 괜찮습니다. 솔직하지 못한 날도, 당신의 하루입니다."
21,오늘은 좋아하는 노래 한 곡을 끝까지 들어 보세요. 그 3분이 마음을 정돈합니다.
22,피곤한 날에는 피곤하다고 말해도 괜찮습니다.
23,모든 감정은 머무르다 지나갑니다. 지금의 마음도 지나갈 겁니다.
24,"당신이 지나온 어제들이 있어, 오늘의 당신이 있습니다."
25,오늘은 한 끼를 천천히 먹어 보세요. 음식이 위로가 되는 날이 있습니다.
26,"비교는 잠시 내려놓아도 됩니다. 당신의 길은, 당신만 걷고 있습니다."
27,"잠을 푹 자는 것이 오늘의 가장 큰 성취가 되어도, 충분히 좋은 하루입니다."
28,"마음이 자꾸 무너지는 날에는, 가장 가까운 사람에게 짧게 안부를 전해 보세요."
29,"오늘 한 번 웃었다면, 오늘은 잘 살아낸 날입니다."
30,"완벽하지 않아도 됩니다. 오늘의 당신은, 오늘만큼만 해내면 됩니다."
31,"잘하고 있다는 말, 오늘은 당신 스스로에게 건네 보세요."
32,"누구에게도 보이지 않는 노력이 있습니다. 그 노력은, 당신은 알고 있습니다."
33,오늘 마음이 흐렸다면 내일은 조금 갠 하늘일 겁니다.
34,"가끔은 아무것도 하지 않는 시간이 가장 필요한 시간입니다."
35,"당신의 하루를 가장 응원하는 사람은, 당신이어야 합니다."
36,따뜻한 차 한 잔과 짧은 산책. 오늘은 그 정도면 충분합니다.
37,"실수해도 괜찮습니다. 당신은 사람이고, 사람은 실수합니다."
38,"마음이 헛헛한 날에는 좋아하는 책의 첫 페이지를 다시 펼쳐 보세요. 익숙한 문장이, 마음을 잡아 줍니다."
39,"잘 모르는 길 위에 서 있더라도, 일단 한 걸음 내디딘 것은 사실입니다."
40,오늘 잘 견딘 당신에게 작은 보상을 하나 주어도 좋습니다.
41,누군가의 다정함이 종일 마음에 남는 날이 있습니다. 그 다정함을 잊지 마세요.
42,당신은 지금 충분히 잘하고 있습니다. 정말로요.
