id,text
1,오늘은 당신이 생각보다 멀쩡한 날입니다. 다만 방심하면 바로 들킵니다.
2,오늘의 행운은 갓 내린 커피. 오늘의 불운은 그 커피가 식는 속도.
3,누군가 '잠깐만요'라고 말하면 일단 의자를 깊게 당겨 앉으세요. 그 잠깐은 보통 40분입니다.
4,오늘은 일이 잘 풀립니다. 대신 풀린 자리에 다른 일이 들어찹니다.
5,오늘의 운세: 배고픔. 점심까지 2시간 17분 남았습니다.
6,집중력은 충만하지만 행선지가 유튜브입니다.
7,행운의 숫자는 5입니다. 이유는 묻지 마세요.
8,팀장님이 당신의 이름을 부를 때 0.3초 안에 표정 관리하세요.
9,"오늘은 묘하게 조용합니다. 폭풍 전의 고요인지, 와이파이가 끊긴 건지 확인이 필요합니다."
10,당신의 계획은 완벽합니다. 현실이 동의하지 않을 뿐입니다.
11,오늘 점심 메뉴를 고르다 인생의 의미를 잠깐 마주칠 수 있습니다.
12,모니터를 응시하면 모니터도 당신을 응시합니다. 둘 다 멍합니다.
13,"커피 한 모금에 인생이 달라지진 않지만, 한 잔이면 한 시간은 버팁니다."
14,오늘 누군가 '이거 금방 끝나요'라고 말한다면 거짓말 탐지기를 켜세요.
15,오늘의 키워드는 '읽씹'입니다. 단 팀장님 메시지는 제외입니다.
16,"오후 3시쯤 졸음이 한 번 옵니다. 막을 수 없으니, 우아하게 받아들이세요."
17,"회의를 피하려 했지만, 회의가 당신을 찾아옵니다."
18,누군가 '간단한 건데요'로 시작하면 일정표를 비우세요.
19,오늘은 메일함을 열기 전에 심호흡을 한 번 하세요. 숫자가 두 자리일 가능성이 있습니다.
20,자리 비움 30분의 알리바이는 '회의실 잡으러 갔다'입니다. 단 한 번만 통합니다.
21,오늘은 의자 높이가 미묘하게 거슬립니다. 인생도 비슷합니다.
22,누군가의 '빠르게 공유드립니다'는 보통 10분짜리 보이스 메시지로 옵니다.
23,오늘 엘리베이터에서 임원과 단둘이 갇힐 확률이 평소의 2배입니다.
24,복합기는 당신이 급할 때만 종이가 걸립니다. 우주의 법칙입니다.
25,"오늘의 미션: 점심 후 졸음 참기. 보상은 없지만, 벌칙은 큽니다."
26,"키보드 소리가 유난히 크게 들리는 날입니다. 당신이 시끄러운 게 아니라, 사무실이 조용한 겁니다."
27,누군가 슬랙으로 '?'만 보낸다면 그 사람은 이미 화가 났습니다.
28,오늘의 운세: 무난함. 무난해서 더 수상합니다.
29,프린터 앞에서 마주친 사람과 눈이 맞으면 인사 타이밍을 영영 놓칩니다.
30,"오늘 회의는 5분이면 끝난다고 합니다. 이 문장의 신뢰도는 12%입니다."
31,"에어컨 온도 전쟁에서 오늘은 추운 쪽이 이깁니다. 카디건을 챙기세요."
32,"오늘은 결재 라인이 한 명 더 늘어 있을 수 있습니다. 보통 좋은 신호는 아닙니다."
33,오늘의 행운 아이템은 무선 이어폰입니다. 끼고 있으면 말 거는 사람이 절반으로 줄어듭니다.
34,오후 5시 50분에 도착하는 메일은 절대로 가벼운 내용이 아닙니다.
35,"점심 메뉴는 다수결로 정해지지만, 책임은 제안자가 집니다."
36,"오늘 누군가 당신을 칭찬합니다. 단, 일을 부탁하기 직전입니다."
37,"오늘은 화면 공유 중 알림이 뜰 위험이 큽니다. 미리 방해 금지 켜두세요."
38,'확인 부탁드려요'는 '지금 당장 답하세요'의 정중한 번역입니다.
39,"오늘 당신의 자리는 햇빛이 정확히 모니터에 꽂힙니다. 블라인드는 반쯤 내리는 게 정답입니다."
40,오늘은 무언가 잊은 느낌이 종일 따라옵니다. 보통 그 느낌은 옳습니다.
41,"화장실 다녀오는 사이에 결정이 끝나 있을 수 있습니다. 당신에게 유리한 결정은 아닙니다."
42,오늘의 미스터리: 어제 분명히 저장한 파일이 사라져 있습니다.
43,"오늘은 노트북 충전기가 자꾸 빠집니다. 사무실 책상 신이 노여워하셨습니다."
44,"갑자기 팀장님이 친절해진다면 둘 중 하나입니다. 휴가 중이거나, 부탁이 있거나."
45,'잠깐 통화 가능하세요?'라는 메시지에는 답하지 않을수록 평화롭습니다.
46,오늘은 마우스 휠이 미세하게 끈적거립니다. 인생도 비슷합니다.
47,오늘 점심값은 평소보다 1500원 비쌉니다. 이유는 알 수 없습니다.
48,"오늘은 회의실 예약이 겹칩니다. 당신은 양보하는 쪽입니다."
49,오늘의 운세: 평온. 단 16시 이후에는 보장하지 않습니다.
50,오늘 누군가 '이거 누가 했어요?'라고 묻습니다. 답은 침묵이 정답입니다.
51,오늘은 출근길에 들은 노래가 종일 머릿속을 맴돕니다. 보통 가장 짜증 나는 부분만요.
52,오늘의 깨달음: 회의록은 회의 중에 적어야 회의록입니다.
53,사무실에서 가장 무서운 문장은 '잠깐 시간 되세요?' 입니다.
54,오늘은 텀블러를 두 번 비우는 날입니다. 화장실도 두 배로 갑니다.
55,오늘 누군가의 자리에 케이크가 놓여 있다면 도망갈 수 없는 노래가 시작됩니다.
56,"오늘은 캘린더가 비어 보이지만, 그건 아직 회의가 안 잡힌 것뿐입니다."
57,'금요일 오후에 보내드릴게요'는 '월요일 오전에 받을 거예요'의 동의어입니다.
58,오늘 당신의 무표정은 평소보다 한 단계 깊습니다. 다행히 아무도 눈치채지 못합니다.
59,오늘은 에어팟 한쪽이 사라집니다. 보통은 가방 안쪽에서 나타납니다.
60,'다 같이 한번 해보죠'는 보통 한 사람이 다 합니다. 그게 당신일 확률이 높습니다.
61,오늘 우연히 마주친 옛 동기는 당신보다 잘 지냅니다. SNS는 더 잘 지냅니다.
62,오늘의 미션: 회의 중 한 번도 핸드폰 안 보기. 난이도 ★★★★★.
63,"오늘 누군가 '제가 좀 정리해서 드릴게요'라고 하면, 정리는 당신이 하게 됩니다."
64,"퇴근 10분 전에 말 거는 사람은 보통 30분짜리 용건을 가지고 옵니다."
65,오늘의 깨달음: 의자가 좋으면 인생이 좀 나아집니다.
66,오늘은 모니터 두 대를 동시에 응시하는 묘기를 부리게 됩니다. 둘 다 진척은 없습니다.
67,오늘 누군가의 한숨이 사무실의 BGM이 됩니다. 따라 쉬지 마세요.
68,'바쁘세요?'는 '안 바쁘다고 하면 일이 옵니다'의 함정 질문입니다.
69,오늘 당신은 마우스 커서를 30초간 같은 자리에 두고 멍합니다. 정상입니다.
70,"오늘은 사내 메신저 프로필을 바꾸기 좋은 날입니다. 단, 너무 행복해 보이면 안 됩니다."
71,오늘의 행운: 회의실 예약이 갑자기 취소됩니다.
72,오늘의 불운: 그 시간에 다른 회의가 생깁니다.
73,복도에서 들리는 웃음소리가 당신 얘기 같은 날입니다. 보통은 아닙니다.
